number,value,datetime_start,datetime_complete,duration,params_batch_size,params_eps_decay,params_gamma,params_learning_rate,params_sync_target_network,state
0,19.1,2026-05-21 09:51:51.285009,2026-05-21 11:21:37.268959,0 days 01:29:45.983950,128,0.9999105481991011,0.9589681908772328,0.00010601632409286501,500,COMPLETE
1,19.4,2026-05-21 11:21:37.271418,2026-05-21 12:36:18.505174,0 days 01:14:41.233756,128,0.9999405017232303,0.9554657393134526,0.00016809298026978112,500,COMPLETE
2,-18.0,2026-05-21 12:36:18.506896,2026-05-21 13:50:15.101985,0 days 01:13:56.595089,32,0.9999138614697591,0.9532600001743933,0.000913375874775688,1000,COMPLETE
3,19.2,2026-05-21 13:50:15.103848,2026-05-21 15:23:25.301404,0 days 01:33:10.197556,128,0.9999050500402279,0.9744206835763731,2.1827358915506896e-05,500,COMPLETE
4,19.2,2026-05-21 15:23:25.303790,2026-05-21 17:18:17.971730,0 days 01:54:52.667940,128,0.9999906605277536,0.969582627041989,1.4327100505349427e-05,5000,COMPLETE
5,-21.0,2026-05-21 17:18:17.974655,2026-05-21 17:47:56.254985,0 days 00:29:38.280330,64,0.9999416479330954,0.9768325918371178,0.00038652886237961875,1000,PRUNED
6,-14.6,2026-05-21 17:47:56.256610,2026-05-21 18:01:21.017497,0 days 00:13:24.760887,32,0.9999576293871016,0.9629830527101451,6.80650041915224e-05,5000,PRUNED
7,19.2,2026-05-21 18:01:21.018892,2026-05-21 18:42:28.699120,0 days 00:41:07.680228,64,0.9999371430460926,0.9942352859990191,0.00012489266742729264,1000,COMPLETE
8,19.3,2026-05-21 18:42:28.700499,2026-05-21 20:58:01.261042,0 days 02:15:32.560543,128,0.9999012137757336,0.9921773487871008,3.855193139266139e-05,5000,COMPLETE
9,19.1,2026-05-21 20:58:01.263248,2026-05-21 21:50:24.302645,0 days 00:52:23.039397,32,0.9999773003625569,0.9796384264800885,0.00013537115857158142,500,COMPLETE
10,-20.6,2026-05-21 21:50:24.304708,2026-05-21 21:55:28.857086,0 days 00:05:04.552378,128,0.9999633845194654,0.9532549470180367,0.00030794861931493164,500,PRUNED
11,20.0,2026-05-21 21:55:28.858669,2026-05-21 23:52:14.186865,0 days 01:56:45.328196,128,0.9999274470919305,0.9986621129064943,4.0570850201043105e-05,5000,COMPLETE
12,19.1,2026-05-21 23:52:14.189000,2026-05-22 01:14:26.371863,0 days 01:22:12.182863,128,0.9999269043097008,0.9880940829487334,4.1462436348010456e-05,5000,COMPLETE
13,-21.0,2026-05-22 01:14:26.373651,2026-05-22 01:31:11.684320,0 days 00:16:45.310669,128,0.9999288315120387,0.9841468655550484,0.0002677699131721212,500,PRUNED
14,19.5,2026-05-22 01:31:11.685876,2026-05-22 02:33:21.922258,0 days 01:02:10.236382,128,0.9999514863787411,0.964259911352836,5.170056309434707e-05,5000,COMPLETE
15,-19.8,2026-05-22 02:33:21.924390,2026-05-22 02:38:42.027399,0 days 00:05:20.103009,64,0.9999562775669157,0.9982434660271409,5.304899072215524e-05,5000,PRUNED
16,20.0,2026-05-22 02:38:42.028975,2026-05-22 04:32:04.100525,0 days 01:53:22.071550,128,0.9999712642775854,0.9645323425087426,1.0080639854851271e-05,5000,COMPLETE
17,20.0,2026-05-22 04:32:04.102624,2026-05-22 06:24:10.880293,0 days 01:52:06.777669,128,0.9999705770019623,0.9674654712743871,1.026837970736401e-05,5000,COMPLETE
18,-13.1,2026-05-22 06:24:10.882042,2026-05-22 06:51:17.457806,0 days 00:27:06.575764,32,0.9999933207652685,0.9720933589002645,2.2714273390583033e-05,5000,PRUNED
19,-6.2,2026-05-22 06:51:17.459267,2026-05-22 07:25:08.200523,0 days 00:33:50.741256,64,0.9999830623827483,0.9855501455198679,2.4318317474557324e-05,5000,PRUNED
